group,n_items,zero_share_mean,model,RMSE,MAE
G1 low intermittency,206,0.2754912312327779,SARIMAX + hgb residual boost (per-group),4.086593865407133,2.174344951731168
G1 low intermittency,206,0.2754912312327779,SARIMAX + hgb_centered residual boost,4.126169869339225,2.279733054185517
G1 low intermittency,206,0.2754912312327779,SARIMAX + Tree residual boost,4.128310185832638,2.2890834054619322
G1 low intermittency,206,0.2754912312327779,SARIMAX + mlp_centered residual boost,4.294885750680074,2.5445052672062567
G1 low intermittency,206,0.2754912312327779,SARIMAX + mlp residual boost,4.308879754835464,2.496878533925789
G1 low intermittency,206,0.2754912312327779,SARIMAX + xgb_centered residual boost,4.312822576095541,2.3287116367058713
G1 low intermittency,206,0.2754912312327779,SARIMAX + xgb residual boost,4.32393982614182,2.347747179083173
G1 low intermittency,206,0.2754912312327779,SARIMAX[7],4.4088761817474715,2.5960088681860705
G2 medium intermittency,206,0.5731039633282686,SARIMAX + hgb residual boost (per-group),2.0751269622423396,0.9985613934358578
G2 medium intermittency,206,0.5731039633282686,SARIMAX + Tree residual boost,2.0845394126862145,1.0121515102203078
G2 medium intermittency,206,0.5731039633282686,SARIMAX + hgb_centered residual boost,2.0919896345967706,1.0060346562994469
G2 medium intermittency,206,0.5731039633282686,SARIMAX + xgb residual boost,2.09967411081301,1.0233800256816794
G2 medium intermittency,206,0.5731039633282686,SARIMAX + xgb_centered residual boost,2.1065509862668423,1.0095409733585348
G2 medium intermittency,206,0.5731039633282686,SARIMAX[7],2.322686914040995,1.3561301828490315
G2 medium intermittency,206,0.5731039633282686,SARIMAX + mlp_centered residual boost,2.3740805571429884,1.3964624878711898
G2 medium intermittency,206,0.5731039633282686,SARIMAX + mlp residual boost,2.456502413289642,1.3544273796877109
G3 high intermittency,205,0.7499463026460503,SARIMAX + hgb residual boost (per-group),1.1663783640411935,0.5112749945955818
G3 high intermittency,205,0.7499463026460503,SARIMAX + Tree residual boost,1.1678643342782569,0.5039836534410632
G3 high intermittency,205,0.7499463026460503,SARIMAX + hgb_centered residual boost,1.1715167060455351,0.4971075293875452
G3 high intermittency,205,0.7499463026460503,SARIMAX + xgb residual boost,1.1815455652277052,0.5053143731939489
G3 high intermittency,205,0.7499463026460503,SARIMAX + xgb_centered residual boost,1.1845070783309892,0.49324603378446347
G3 high intermittency,205,0.7499463026460503,SARIMAX[7],1.449506893587654,0.8634647119948997
G3 high intermittency,205,0.7499463026460503,SARIMAX + mlp_centered residual boost,1.4805307552906073,0.924710471106222
G3 high intermittency,205,0.7499463026460503,SARIMAX + mlp residual boost,1.501989700887802,0.7897801048611792
G4 very high intermittency,206,0.8951379052818625,SARIMAX + xgb residual boost,0.7580014901092725,0.25597319800657337
G4 very high intermittency,206,0.8951379052818625,SARIMAX + xgb_centered residual boost,0.7662555202699122,0.24875206642630782
G4 very high intermittency,206,0.8951379052818625,SARIMAX + Tree residual boost,0.7894103501892739,0.24717263777330062
G4 very high intermittency,206,0.8951379052818625,SARIMAX + hgb_centered residual boost,0.7965319216142548,0.2445602869823439
G4 very high intermittency,206,0.8951379052818625,SARIMAX + hgb residual boost (per-group),0.8021489448262465,0.28279019167626096
G4 very high intermittency,206,0.8951379052818625,SARIMAX[7],1.0612884850111368,0.5633875330229245
G4 very high intermittency,206,0.8951379052818625,SARIMAX + mlp_centered residual boost,1.0771106251236224,0.6338250496022124
G4 very high intermittency,206,0.8951379052818625,SARIMAX + mlp residual boost,1.1114531783571093,0.48634990578198334
