day,bias_delta,RMSE_delta,MAE_delta
d_1886,0.11604686372037376,-0.2047405010379948,-0.0787425943013551
d_1887,0.08009149549709521,-0.088207018331254,-0.04829235541325594
d_1888,0.05413875597135348,-0.11083529325143404,-0.03930616330696135
d_1889,0.05048085947913131,-0.08911066592967432,-0.04223527827004303
d_1890,-0.0893198665745673,-0.05612937661238515,-0.03708390074277501
d_1891,0.10550069219098106,-0.0656684773333227,-0.02896965321181444
d_1892,-0.035410064750914905,-0.23164490447096986,-0.06708438149142393
d_1893,0.14014206536279095,-0.0749946142231166,-0.053941615898177586
d_1894,-0.07477930380337743,0.04280250115924389,-0.0028925957597039087
d_1895,-0.08048759770370922,-0.18405504565276543,-0.05404344566658392
d_1896,-0.0906198657282503,-0.15121182439024317,-0.0555720022553019
d_1897,0.11878530028976055,-0.06965180886536082,-0.03580569665549005
d_1898,-0.06907689152931878,-0.01711510285123774,-0.024112451346339547
d_1899,0.14817513087611398,-0.09190696903898399,-0.0442765235761593
d_1900,-0.05850574219509719,-0.042253373900413393,-0.023848741605877022
d_1901,-0.07130858177881594,-0.15153206910009676,-0.05294531843432004
d_1902,-0.08171106072192971,-0.04366377803633359,-0.013535580255237267
d_1903,0.05697350432285912,-0.09125455165037044,-0.03829074379314945
d_1904,-0.09175248553908776,-0.13467175872318915,-0.02729998905123221
d_1905,0.09046390443216566,-0.1444577059410812,-0.058336676439222135
d_1906,0.12674971897960394,-0.02518023311321871,-0.017775761173362215
d_1907,0.11063393833887922,-0.02052395573150889,-0.03057495108254593
d_1908,0.07386405705722998,-0.009788038701588064,-0.015906229587409726
d_1909,0.07794974731264698,-0.06640047845877506,-0.014946900586604306
d_1910,0.04878872131088827,-0.1444165696487314,-0.05332832780790708
d_1911,0.07064212399484808,-0.1155494866673843,-0.04342974093043739
d_1912,0.10609950431850142,0.017773911167317635,-0.016842509021974816
d_1913,0.14701501756764687,-0.14745317901158161,-0.05918967616996018
