feature,importance_mean,importance_std
time_since_last_sale,1.1801536187295767,0.0635554595286159
lag_1,0.09879633814342892,0.003356291909711666
roll_mean_28,0.07519873662099771,0.0009110805151718828
lag_21,0.03534167926532002,0.0017671360299832066
roll_mean_21,0.032318042898704505,0.0023898507946165477
lag_14,0.01562546887070344,0.0015759380304889029
lag_28,0.014029300465919103,0.0013426712137724988
event_name_1_prev_gap,0.008461304097692145,0.001551465620378207
snap_TX,0.006978356439674904,0.0010485817862861038
roll_zero_share_28,0.0063354885532241004,0.0014565812590670295
lag_7,0.003966621989625563,0.0006223057847159742
sell_price,0.0028005684368304527,0.0009369135568398944
lag_13,0.002280717997330073,0.00022443842140686845
roll_std_21,0.0022328492640893314,5.3072296053173915e-05
promo_flag,0.0016481122406054594,0.0006596060086816941
wday,0.0008870499043812874,0.0005713803346608091
roll_std_14,0.0005407726842651562,7.704911778528658e-05
te_item_id_resid,0.0003978996685381375,0.0009974755685434216
event_name_1_window_7,0.00037304926917045564,6.81962864245348e-05
roll_zero_share_7,0.0003297808114107514,0.0005405624660542537
event_name_2_next_gap,0.0003271740499419806,0.0001160459841381077
price_roll_mean_4w,0.00026653864926931006,2.1616362312424306e-05
cos_week,0.00021425542526718467,0.0003740171164561251
weekday,0.00011994952392946345,0.0002709874447893625
cos_year,5.737644320882307e-05,0.00010593267992166982
price_roll_std_4w,3.3555561543119336e-05,0.00046099070281171864
event_name_1_top,0.0,0.0
event_name_2_top,0.0,0.0
te_store_id_resid,0.0,0.0
te_event_name_1_top_resid,0.0,0.0
date,0.0,0.0
price_pct_change,0.0,0.0
wm_yr_wk,0.0,0.0
sin_year,0.0,0.0
month,0.0,0.0
year,0.0,0.0
event_name_1,0.0,0.0
event_type_1,0.0,0.0
event_name_2,0.0,0.0
event_type_2,0.0,0.0
weekofyear,0.0,0.0
quarter,0.0,0.0
te_event_name_2_top_resid,0.0,0.0
event_name_2_window_7,0.0,0.0
price_change,0.0,0.0
event_name_2_prev_gap,0.0,0.0
event_name_2_window_3,0.0,0.0
sell_price_was_missing,0.0,0.0
store_id,0.0,0.0
sin_week,-7.035125158605382e-06,8.972207478861293e-05
event_name_1_next_gap,-7.658462831896528e-05,0.00022133318033904433
roll_zero_share_14,-9.079185313063399e-05,4.704740873444298e-05
price_roll_std_8w,-0.00015698131105448265,3.8858128631180305e-05
roll_std_28,-0.00021158517614858763,0.00014877937406680916
event_name_1_window_3,-0.00033782218425235653,7.967236268660883e-05
roll_mean_14,-0.0004925307769391817,0.0002190666181677327
price_roll_mean_8w,-0.0008086501181824302,0.000643768116412527
item_id,-0.0011203952024667397,0.0002787013790397998
roll_mean_7,-0.0035195283100377893,0.0002359681655031105
lag_15,-0.00384143020182619,0.0005570238646745675
roll_std_7,-0.004315906613507026,0.0003825889175906041
