day,bias_delta,RMSE_delta,MAE_delta
d_1886,-0.04515687544733261,-0.2454840599059076,-0.31837695466876403
d_1887,-0.02795254557318355,-0.036583806431657706,-0.27188171546502515
d_1888,-0.047214243489021535,-0.10079489935106123,-0.2867717774946523
d_1889,-0.036327684847706265,-0.26750572365873726,-0.35765225563262415
d_1890,-0.10178543278390842,-0.21038003646503833,-0.3753752523744158
d_1891,-0.035332585329127864,-0.293131689618642,-0.35168535333187245
d_1892,-0.07451547054720363,-0.32206325960939086,-0.3745990038862792
d_1893,-0.02665389613094274,-0.3792451763763576,-0.3205378499142524
d_1894,-0.07952954381373258,-0.19983966672751263,-0.3618610471018019
d_1895,-0.09277813304771292,-0.3007122524151731,-0.3795268338937253
d_1896,-0.09960334514629245,-0.23128248386309336,-0.3780563747570005
d_1897,-0.056658245554673956,-0.21158235667581793,-0.27365844051527044
d_1898,-0.0893751782978993,-0.32071317830461243,-0.3713550646998618
d_1899,-0.055278645744007995,-0.25321358768958646,-0.3271755029425991
d_1900,-0.09991818517440577,-0.271301698321083,-0.3666454949008351
d_1901,-0.10512178013996512,-0.2905928562770179,-0.3929479997631937
d_1902,-0.10670230949004318,-0.22584333650096067,-0.3543778759003897
d_1903,-0.06653706540776981,-0.2617527365651582,-0.35050190360288447
d_1904,-0.10576849576644569,-0.3346518897222006,-0.3526525242073145
d_1905,-0.058277501283837796,-0.2484091341321064,-0.31756175024221456
d_1906,-0.046808430015392435,-0.18180280768033308,-0.3244298447298346
d_1907,-0.03549375168556684,-0.2528060891334478,-0.3034816743847546
d_1908,-0.06358257305747378,-0.26046915695159134,-0.3680370664160766
d_1909,-0.06712478375142006,-0.21649705495632166,-0.3166002750269875
d_1910,-0.06631565381934962,-0.18726510297474608,-0.3299378123387977
d_1911,-0.07156346407319834,-0.21666169381388034,-0.34124159258010334
d_1912,-0.04150810207991919,-0.10674844484054757,-0.2853948217772042
d_1913,-0.04695812428553231,-0.1965038084875883,-0.3075977790326505
