day,bias_delta,RMSE_delta,MAE_delta
d_1886,0.06759613440279456,-0.3935351144241217,-0.3848193801118067
d_1887,0.1084747352888395,-0.013316974703810214,-0.3406946956688357
d_1888,-0.03395973448923406,0.11373074640558567,-0.2875253396177412
d_1889,0.027027966663953712,-0.34846921168704803,-0.41619640695242355
d_1890,-0.19391482540795663,-0.27648949982217363,-0.3728135614595649
d_1891,0.12597745104963962,-0.3416402132994518,-0.4227944741530848
d_1892,-0.16773831971333003,-0.4665214922427414,-0.3947420284228944
d_1893,0.12439734623271809,-0.4118356961275822,-0.3709422361177367
d_1894,-0.14902950405697885,-0.14633809429196853,-0.3304559583996146
d_1895,-0.1906713142540813,-0.41367378673256683,-0.3839004608522244
d_1896,-0.18175854721750515,-0.32068314044201807,-0.37349991658533144
d_1897,0.03465925686796915,-0.1960259777768727,-0.28036516119348553
d_1898,-0.1835607980352236,-0.4585971033861309,-0.3871839769412251
d_1899,0.0004636218181822416,-0.26911550972738896,-0.33917585677715834
d_1900,-0.2013119376966184,-0.012577299814551246,-0.30709288927284484
d_1901,-0.2216525864472919,-0.3672416250380288,-0.3752638148567007
d_1902,-0.17656023511079297,-0.24878159294080904,-0.3245391016913851
d_1903,-0.06825033961534742,-0.3099297787930668,-0.3550676772289447
d_1904,-0.1615283958565599,-0.3392981533749382,-0.3232997523618024
d_1905,-0.02276517923588993,-0.3223362821496023,-0.34267435774121546
d_1906,0.026403553156679554,-0.1962116045458311,-0.3272826739468031
d_1907,0.11187759881834151,-0.13706362104639025,-0.34009605400723975
d_1908,-0.05778442723150942,-0.1764938159477274,-0.335789490241333
d_1909,-0.027243886890690475,-0.23753384557716606,-0.3140249863945933
d_1910,-0.05377276870228159,-0.2176562843685006,-0.3332069184529326
d_1911,-0.03890968050106289,-0.3053744682682251,-0.36512757180058464
d_1912,0.08069491610615874,-0.05713473877095865,-0.31644038196995394
d_1913,0.16291774693686722,-0.39638547871288043,-0.43915096451651414
