day,bias_delta,RMSE_delta,MAE_delta
d_1886,-0.012223087173230993,-0.04926072419940075,0.015985732542191933
d_1887,-0.014477640463929464,-0.022131249515377593,-0.002058167602281946
d_1888,-0.018695488729854548,-0.08462304889682448,0.01758176533503808
d_1889,-0.022283747616188565,-0.07380795314352007,0.02253651130195089
d_1890,-0.018077668169248717,-0.06812178750616704,0.00010116372722945854
d_1891,-0.01738889289311582,-0.06748201442878665,0.024250695730557936
d_1892,-0.016085621476909187,-0.08819640817517671,0.04081019412343201
d_1893,-0.00980008994494444,-0.07772505172696276,0.005093138166335498
d_1894,-0.013715269001280048,-0.00550701400596143,0.03576385786667924
d_1895,-0.017551479222366412,-0.06359733384077026,0.01141583800192203
d_1896,-0.020114855598027975,-0.02978593233814797,0.025644879145762633
d_1897,-0.014405405461796843,-0.03132002280684221,0.057073559525313566
d_1898,-0.019720145954287727,0.015531124392643036,0.03540570793753006
d_1899,-0.015055941251483448,-0.07458183540995789,-0.004663662559480475
d_1900,-0.0164706767737392,-0.03629158519202491,0.028023204237747734
d_1901,-0.01716645447966267,-0.024048888365225007,0.021810537497111815
d_1902,-0.020111140276039514,0.019533760094112562,0.051229430163478584
d_1903,-0.023014925632572153,0.01404603342745725,0.05022564661802886
d_1904,-0.01659215906367211,-0.09189429324328735,0.011739657007855842
d_1905,-0.020803419002833952,0.010606664523182374,0.038537380662817755
d_1906,-0.015029505968029419,0.07213865222632743,0.08309575766139932
d_1907,-0.019899425675382026,-0.10913939657033334,0.023221826712675808
d_1908,-0.01771759799247208,-0.007950885440102695,0.035081689035103114
d_1909,-0.0216498078825946,-0.010080978402048135,0.024838426261960755
d_1910,-0.023444437126455553,-0.035403244263398026,0.021790028881276235
d_1911,-0.02040878261289377,-0.04136082047367973,0.021863738444172887
d_1912,-0.021223881694711733,0.10547692288662525,0.10127961934583718
d_1913,-0.01975800375704484,-0.05150022689766498,0.04484701779404543
