horizon,day,bias,RMSE,MAE
1886,d_1886,-0.059499288235068025,2.9775395753938327,1.3685670019873746
1887,d_1887,-0.4633391431192592,2.630579296029427,1.2026771112608818
1888,d_1888,-0.3148001595223187,2.295610302647765,1.2092216798851851
1889,d_1889,-0.22063130693175476,2.2806666383796106,1.271832075938292
1890,d_1890,0.06278189451762108,2.399294452285584,1.32805293537714
1891,d_1891,-0.159393071273847,2.224118035742296,1.2917757118194604
1892,d_1892,0.08963778825042164,2.5835659403582425,1.4919205640507343
1893,d_1893,-0.16575886987651084,2.840740147629433,1.3651230263393364
1894,d_1894,-0.01034428948108281,2.27914535910818,1.3049713862913093
1895,d_1895,0.1537080087529861,2.604508373838783,1.3372569249105317
1896,d_1896,0.0807839553824734,2.2476773061191557,1.290881893367125
1897,d_1897,0.02569345229491891,2.036930357272951,1.2511355018499968
1898,d_1898,0.15399902116944764,2.5165642494779874,1.4540850573983257
1899,d_1899,0.11872169476024215,2.98553467561282,1.468039224523275
1900,d_1900,0.16526929083135333,2.7149215459116043,1.4056715043746144
1901,d_1901,0.21240028668625646,2.372915083856659,1.4117440357889544
1902,d_1902,0.029223386968058495,1.9203187535982638,1.191094130112443
1903,d_1903,0.030894339880235433,2.348637092667616,1.3402109564561167
1904,d_1904,0.009066735705315828,2.238674687344552,1.2728714941294559
1905,d_1905,0.04475258586476669,2.7612210132225634,1.449529578175916
1906,d_1906,0.08217357829181095,2.898478456997355,1.606416559273759
1907,d_1907,-0.20286063353470474,2.735940443710987,1.4563873746028548
1908,d_1908,0.23350834384427954,2.61692657153036,1.461268880024171
1909,d_1909,0.018954620847964877,2.213042660170852,1.2451871483317358
1910,d_1910,-0.1593110045128897,2.4093652038716487,1.3102626756209093
1911,d_1911,0.04269851255524485,2.398916822303277,1.3447794750708932
1912,d_1912,0.09758769547412123,4.1491263626511055,1.7167778405696559
1913,d_1913,-0.2933437984409453,3.5805854019508767,1.6640966504549564
