day,bias_delta,RMSE_delta,MAE_delta
d_1886,0.5632993441582014,-0.01235775276472495,-0.1025516079886779
d_1887,0.5950672259882548,-0.08198262624792818,-0.20320881405559965
d_1888,0.5878863502188254,-0.10746794744437205,-0.15593029360212496
d_1889,0.5992492592341141,-0.07428380335516449,-0.15532947074183423
d_1890,0.413658732512114,-0.021106498754504877,-0.0721141987070737
d_1891,0.5880461269291408,-0.045148480654687795,-0.10303340899936098
d_1892,0.48186772114198095,-0.024304368256026,-0.0313631260394287
d_1893,0.4951796400912477,-0.06816451338129559,-0.10144225549738106
d_1894,0.40987674026001447,0.025115712560003445,-0.05526744862941091
d_1895,0.41170809799971686,-0.004230209816804109,-0.06730678304332227
d_1896,0.3898843816399773,0.019050269436360345,-0.03216365258590992
d_1897,0.4786647195070821,0.030606005260326974,-0.029949687951252635
d_1898,0.3812216649752952,0.0681499479586769,-0.01914913931824236
d_1899,0.5193011459554229,-0.006688610507193271,-0.04601533398070168
d_1900,0.30684528166267344,0.000291069155034851,-0.013901266957771163
d_1901,0.355062169243507,0.032978394313932125,-0.016019551254744302
d_1902,0.3811126503799148,0.05897734801868504,-0.010173131618653741
d_1903,0.46024188326558757,0.05905894685030155,-0.03181063075248747
d_1904,0.3350688799891431,-0.06765948622675877,-0.07124564877895678
d_1905,0.4560928640822988,0.05034754180020151,-0.03719263248928861
d_1906,0.4977752141525954,0.12520530375176797,0.005325190876790176
d_1907,0.3963171757159038,-0.11791885758256138,-0.0903753735863222
d_1908,0.43383490877661346,0.06923484738379493,-0.003527791629091004
d_1909,0.46336090064689717,0.03992342042215258,-0.04253163967265472
d_1910,0.4463102832967473,-0.03561593978162758,-0.06825151405232588
d_1911,0.4331307175275301,0.002020893755773745,-0.07346082861114134
d_1912,0.4962650961765953,0.1442648118243106,-0.03585345679515184
d_1913,0.5319280207571726,-0.06833310004670157,-0.09667681401310091
