horizon,day,bias,RMSE,MAE
1886,d_1886,0.5160231430963643,3.0144425468285085,1.2500296614565047
1887,d_1887,0.14620572333292509,2.5707279192968766,1.0015264648075641
1888,d_1888,0.2917816794263613,2.2727654041002174,1.035709620948022
1889,d_1889,0.40090169991854796,2.280190788167966,1.0939660938945068
1890,d_1890,0.49451829519898377,2.446309741037246,1.2558375729428368
1891,d_1891,0.4460419485484096,2.246451569516395,1.1644916070895415
1892,d_1892,0.5875911308693118,2.647457980277393,1.4197472438878735
1893,d_1893,0.3392208601596813,2.8503006859751,1.2585876326756198
1894,d_1894,0.4132477197802117,2.3097680856741447,1.2139400797952191
1895,d_1895,0.5829675859750694,2.6638754978627492,1.2585343038652874
1896,d_1896,0.4907831926204787,2.296513507893664,1.2330733616354526
1897,d_1897,0.5187635772637978,2.0988563853401203,1.1641122543734306
1898,d_1898,0.5549408320990306,2.5691830730440213,1.3995302101425533
1899,d_1899,0.6530787819671484,3.0534279005155844,1.4266875531020538
1900,d_1900,0.488585249267766,2.751504200258664,1.3637470331790955
1901,d_1901,0.5846289104094261,2.429942366535816,1.3739139470370982
1902,d_1902,0.43044717762401286,1.9597623415228362,1.1296915683303106
1903,d_1903,0.5141511487783952,2.39365000609046,1.2581746790856003
1904,d_1904,0.360727774758131,2.2629094943610806,1.1898861883426433
1905,d_1905,0.5216488689498995,2.8009618904995826,1.3737995650238097
1906,d_1906,0.5949782984124358,2.9515451085227955,1.5286459924891498
1907,d_1907,0.2133559678565811,2.727160982698759,1.3427901743038568
1908,d_1908,0.6850608506133651,2.6941123043542574,1.422659399359977
1909,d_1909,0.5039653293774566,2.2630470589950527,1.1778170823971204
1910,d_1910,0.31044371591031317,2.409152508353419,1.2202211326873071
1911,d_1911,0.4962380126956687,2.4422985365327303,1.249454908015579
1912,d_1912,0.6150766733454283,4.187914251588791,1.5796447644286669
1913,d_1913,0.25834222607327206,3.56375252880184,1.52257281864781
