day,bias_delta,RMSE_delta,MAE_delta
d_1886,-0.039354352436269883,-0.24574335129559444,-0.3212041751988539
d_1887,0.04550433449542951,-0.05386086276118629,-0.3205276817147821
d_1888,0.002788721125879301,-0.11095823323163412,-0.31733877208306605
d_1889,0.0213767226288841,-0.27551295408801213,-0.3892721662018038
d_1890,-0.1994283163292484,-0.2059287494637796,-0.3372243642872823
d_1891,-0.006163201647501199,-0.29623233381079506,-0.36534334083058295
d_1892,-0.1939341495296757,-0.32019778190072445,-0.3363311808314571
d_1893,0.037077748556759535,-0.3841835017771804,-0.35456521845339717
d_1894,-0.15300929707072775,-0.19409212643182405,-0.3314415846371064
d_1895,-0.1775135119782023,-0.3026684037890486,-0.35109752240046366
d_1896,-0.18165843395927,-0.2289315523030684,-0.3521016891038681
d_1897,-0.05284396174525488,-0.21162613281098275,-0.2752020658257943
d_1898,-0.23649259907780323,-0.32191138858498247,-0.32840008074400684
d_1899,-0.1274592941086904,-0.2546345746135348,-0.3017086537550031
d_1900,-0.22097021903868974,-0.2728609736091032,-0.32703086728734054
d_1901,-0.23967967589323885,-0.295946129859499,-0.36207435716927416
d_1902,-0.19836039156295357,-0.21744314414441113,-0.32711687242087484
d_1903,-0.09628180782038118,-0.26118935631013285,-0.341070059884395
d_1904,-0.1941628769588215,-0.32629277313208727,-0.32263302878584477
d_1905,-0.09970879032677256,-0.2481132917199691,-0.30103521199910754
d_1906,-0.08858105210087859,-0.182397873860491,-0.3100822420974092
d_1907,0.021201129563402754,-0.2582835979183016,-0.3310056542567916
d_1908,-0.10964278131259922,-0.2649182718940848,-0.35564360509396975
d_1909,-0.08568150968378475,-0.21602798886545838,-0.31012979926077344
d_1910,-0.07369109627330628,-0.1862945690542417,-0.32672734815989446
d_1911,-0.08454616278709305,-0.21653426344400728,-0.3367017104431683
d_1912,-0.013128468307541233,-0.10588288092574949,-0.2995692902644902
d_1913,0.04117632228337717,-0.20534197284843492,-0.35267521697221293
