day,bias_delta,RMSE_delta,MAE_delta
d_1886,-0.05670074847126599,-0.17202303094139149,-0.3291634097398024
d_1887,-0.04820836503123005,0.39529862824726036,-0.20895843520916735
d_1888,-0.0857871675225727,0.03140973699190441,-0.27042734117200207
d_1889,-0.07810946657510759,-0.06178913440413547,-0.32022481939901426
d_1890,-0.16592339168490666,0.06987042108656727,-0.37033065714589075
d_1891,-0.030985215936109783,-0.26351208332758524,-0.34980892124744656
d_1892,-0.08773733384321393,-0.46290415369858406,-0.42033393356441073
d_1893,-0.0302050460414878,-0.32475931970818994,-0.2846143614348753
d_1894,-0.09267383226485951,-0.09575073334510575,-0.33799566565683803
d_1895,-0.11960280342336496,-0.2615483471616571,-0.37712771473063
d_1896,-0.12088818143554227,-0.15896054483823185,-0.36423557951486274
d_1897,-0.07012780335647403,-0.08822734072310001,-0.245918070788276
d_1898,-0.1511191074267706,-0.2962107368344107,-0.374189805796705
d_1899,-0.0583455507698053,-0.3942876755508373,-0.37463774419721196
d_1900,-0.16224912841763164,0.08236063561277174,-0.3499829156224523
d_1901,-0.1369784441743964,-0.08258365747037422,-0.33649952680270023
d_1902,-0.11440174726169593,-0.05662718690219859,-0.29235465722229925
d_1903,-0.07339963049642981,-0.19206461046910794,-0.3436433721219946
d_1904,-0.16430842198594448,-0.21652795979759087,-0.3463605714499629
d_1905,-0.07842792489029157,-0.28740504010337276,-0.32607012865141427
d_1906,-0.04132851127508021,-0.10583566987017345,-0.29990550659954285
d_1907,-0.049121110099941495,-0.0697953861992553,-0.25542568041832103
d_1908,-0.06927513755709072,-0.15713842551590762,-0.35065037244890984
d_1909,-0.060573807118948116,-0.1833951927305537,-0.29508056207411704
d_1910,-0.08071537267494028,-0.16367550401931652,-0.3215529188730565
d_1911,-0.1215172108349682,-0.22502121789390417,-0.34435047034122734
d_1912,-0.06350997890737657,-0.18899561987663605,-0.2699093099694314
d_1913,-0.07011549410436557,-0.24131098502902004,-0.32988251229852183
