horizon,day,bias,RMSE,MAE
1886,d_1886,-0.10397694953310302,2.854777268651842,1.0234178597053802
1887,d_1887,-0.4970698676865598,3.048009173792065,0.9957768436539964
1888,d_1888,-0.38189183831503687,2.411643088536494,0.921212573378145
1889,d_1889,-0.2764570258906738,2.292685457118995,0.9290707452373268
1890,d_1890,-0.08506382899803686,2.5372866608783182,0.9576211145040198
1891,d_1891,-0.17298939431684096,2.0280879668434975,0.9177160948414559
1892,d_1892,0.01798607588411689,2.208858194834835,1.0307764363628915
1893,d_1893,-0.1861638259730542,2.5937058796482058,1.0754155267381256
1894,d_1894,-0.08930285274466226,2.1889016397690355,0.931211862767792
1895,d_1895,0.05165668455198754,2.4065573605178963,0.9487133721779797
1896,d_1896,-0.01998937045504089,2.118502693619072,0.9010014347064997
1897,d_1897,-0.030028945599758272,1.9800230393566933,0.9481438715364072
1898,d_1898,0.02260005969696476,2.2048223882509337,1.0444895436640906
1899,d_1899,0.0754320852419203,2.6658288354719404,1.0980651428855435
1900,d_1900,0.019490839187460893,2.833573766716401,1.0276653845144144
1901,d_1901,0.09258829699152274,2.3143803147515096,1.0534339714891423
1902,d_1902,-0.06506722001759792,1.8441578066019526,0.8475100427266651
1903,d_1903,-0.01949036498362223,2.1425264487710507,0.9463419377160932
1904,d_1904,-0.13864952721695653,2.1140410207902485,0.9147712656716371
1905,d_1905,-0.01287192002269093,2.4632093085960083,1.084922068861684
1906,d_1906,0.05587457298476016,2.720504134900854,1.2234152950128168
1907,d_1907,-0.2320823179592642,2.775284454082065,1.177739867471858
1908,d_1908,0.1819508042796609,2.467739031454555,1.0755368185401581
1909,d_1909,-0.019969378388388637,2.0397284458423464,0.925268159995658
1910,d_1910,-0.21658194006137443,2.28109294411573,0.9669197278665765
1911,d_1911,-0.058409915666829584,2.2152564248830524,0.978565266285493
1912,d_1912,0.05530159826145639,3.854653819887844,1.3455889112543873
1913,d_1913,-0.34370128878826606,3.3907746438195216,1.289367120362389
