day,bias_delta,RMSE_delta,MAE_delta
d_1886,-0.07876430728235573,-0.1707262638886089,-0.31869879574631144
d_1887,-0.008381032332262395,0.38633855587195365,-0.23490859088244076
d_1888,-0.11509244108485722,0.039084500748880036,-0.2540181298097074
d_1889,-0.1197778142486316,-0.0535389139150082,-0.29870824366125714
d_1890,-0.3570812402857836,0.09121538735799373,-0.29750943764546767
d_1891,0.04623775844843536,-0.2702590003542813,-0.38534529279227614
d_1892,-0.18981990568609802,-0.46078491435111557,-0.3864001642758095
d_1893,0.06478239367492164,-0.3311395177746803,-0.3378581768674216
d_1894,-0.20137015393717167,-0.0853309131833031,-0.2926655550118289
d_1895,-0.23870153360483326,-0.2610633488043481,-0.33587156229122694
d_1896,-0.2359996656982527,-0.15272833682745457,-0.32417359893000186
d_1897,-0.09681378980837999,-0.08728661512416336,-0.23558940836123532
d_1898,-0.3588491605875824,-0.28519902673136377,-0.3197822489206139
d_1899,-0.08724741943567951,-0.39516990712142164,-0.36499320516362554
d_1900,-0.38194752884091354,0.09226065821620999,-0.28384310114831823
d_1901,-0.3271031271488814,-0.0823212245232594,-0.28945757863915755
d_1902,-0.2109350999707179,-0.04765440450638336,-0.2611332093784382
d_1903,-0.12393000562998939,-0.19056174811387816,-0.3259669932909961
d_1904,-0.3373534215983699,-0.18745269803935694,-0.28490369335553367
d_1905,-0.10665453430755974,-0.2867992439729088,-0.31546057542584993
d_1906,0.002255931244650025,-0.1042604427793643,-0.31609388222034296
d_1907,0.012628734463684399,-0.07681130592597452,-0.2884083102030479
d_1908,-0.13844477667491328,-0.16230565442534717,-0.3298207076645061
d_1909,-0.034950149608542674,-0.1835374553570044,-0.3044676230405289
d_1910,-0.10603649189037762,-0.1596885601392053,-0.31043882624688235
d_1911,-0.20639256364591319,-0.2190916703283894,-0.3182457345981806
d_1912,-0.0028259535949220205,-0.18714213316149708,-0.3001380220279717
d_1913,0.07917145805529932,-0.2562178414412233,-0.40955274476866577
