horizon,day,bias,RMSE,MAE
1886,d_1886,-0.12604050834419275,2.8560740357046246,1.0338824736988712
1887,d_1887,-0.45724253498759215,3.0390491014167584,0.969826687980723
1888,d_1888,-0.4111971118773214,2.4193178522934695,0.9376217847404397
1889,d_1889,-0.3181253735641978,2.3009356776081225,0.9505873209750839
1890,d_1890,-0.2762216775989138,2.5586316271497447,1.0304423340044429
1891,d_1891,-0.09576641993229582,2.0213410498168014,0.8821797232966263
1892,d_1892,-0.08409649595876718,2.2109774341823036,1.0647102056514928
1893,d_1893,-0.09117638625664476,2.5873256815817154,1.0221717113055793
1894,d_1894,-0.19799917441697443,2.199321459930838,0.9765419734128011
1895,d_1895,-0.06744204562948075,2.4070423588752052,0.9899695246173827
1896,d_1896,-0.13510085471775132,2.124734901629849,0.9410634152913606
1897,d_1897,-0.05671493205166423,1.98096376495563,0.9584725339634479
1898,d_1898,-0.18512999346384704,2.2158340983539806,1.0988971005401817
1899,d_1899,0.04653021657604608,2.664946603901356,1.1077096819191299
1900,d_1900,-0.20020756123582098,2.843473789319839,1.0938051989885484
1901,d_1901,-0.09753638598296227,2.3146427476986244,1.100475919652685
1902,d_1902,-0.1616005727266199,1.8531305889977678,0.8787314905705261
1903,d_1903,-0.0700207401171818,2.1440293111262805,0.9640183165470917
1904,d_1904,-0.311694526829382,2.1431162825484824,0.9762281437660664
1905,d_1905,-0.04109852943995909,2.4638151047264722,1.0955316220872484
1906,d_1906,0.09945901550449039,2.7220793619916632,1.2072269193920167
1907,d_1907,-0.1703324733956383,2.7682685343553457,1.1447572376871311
1908,d_1908,0.11278116516183834,2.4625718025451153,1.0963664833245619
1909,d_1909,0.0056542791220168045,2.0395861832158957,0.9158810990292462
1910,d_1910,-0.24190305927681177,2.2850798879958414,0.9780338204927507
1911,d_1911,-0.14328526847777456,2.221185972448567,1.0046700020285397
1912,d_1912,0.11598562357391094,3.856507306602983,1.315360199195847
1913,d_1913,-0.19441433662860116,3.3758677874073184,1.2096968878922452
