group,n_items,zero_share_mean,model,RMSE,MAE
G1 low intermittency,206,0.2754912312327779,SARIMAX[7],4.4088761817474715,2.5960088681860705
G1 low intermittency,206,0.2754912312327779,Moving average window 28,4.754558234406118,2.638287596592035
G1 low intermittency,206,0.2754912312327779,Seasonal naive period 7,6.58535128865628,3.326976421636616
G1 low intermittency,206,0.2754912312327779,Naive last value,7.704268680062427,3.865117891816921
G2 medium intermittency,206,0.5731039633282686,SARIMAX[7],2.322686914040995,1.3561301828490315
G2 medium intermittency,206,0.5731039633282686,Moving average window 28,2.3928092714693086,1.353985040618189
G2 medium intermittency,206,0.5731039633282686,Seasonal naive period 7,2.802843068191626,1.608009708737864
G2 medium intermittency,206,0.5731039633282686,Naive last value,3.168986545909487,1.6839459084604715
G3 high intermittency,205,0.7499463026460503,Moving average window 28,1.3994772543224323,0.8275012444001991
G3 high intermittency,205,0.7499463026460503,SARIMAX[7],1.449506893587654,0.8634647119948997
G3 high intermittency,205,0.7499463026460503,Naive last value,1.6343439476966966,0.878397212543554
G3 high intermittency,205,0.7499463026460503,Seasonal naive period 7,1.6573140606023902,0.8871080139372822
G4 very high intermittency,206,0.8951379052818625,Moving average window 28,1.0337275890453332,0.5649519516544482
G4 very high intermittency,206,0.8951379052818625,SARIMAX[7],1.0612884850111368,0.5633875330229245
G4 very high intermittency,206,0.8951379052818625,Seasonal naive period 7,1.2002946933572294,0.590499306518724
G4 very high intermittency,206,0.8951379052818625,Naive last value,1.2337712108945391,0.5977808599167822
