horizon,day,bias,RMSE,MAE
1886,d_1886,-0.0776774865474744,3.251079217896346,1.4016663773650406
1887,d_1887,-0.6317479604235374,3.2392179485783514,1.2772956084013194
1888,d_1888,-0.5612740843603541,2.8141989444883553,1.3038534976566567
1889,d_1889,-0.4191112654053116,2.5072359141055283,1.2746051032806804
1890,d_1890,-0.0509460163166117,2.310928210339821,1.2503037667071688
1891,d_1891,0.0438291963200833,2.370019088075796,1.2575941676792224
1892,d_1892,0.4423711161256726,2.725428552631093,1.395070300295088
1893,d_1893,-0.2186252386738413,2.989958376352467,1.3555806283631315
1894,d_1894,-0.20768963721576117,2.3950450116917135,1.2614997396285368
1895,d_1895,-0.1141294914077417,2.93261656438503,1.3239021003298037
1896,d_1896,-0.13357056066655096,2.403581851789799,1.2455302898802292
1897,d_1897,-0.10076375629231037,2.134615726157966,1.1582190591911128
1898,d_1898,0.3536712376323555,2.6841800333545662,1.408436035410519
1899,d_1899,0.46667245269918417,3.1184168887724772,1.4290053810102412
1900,d_1900,0.11673320604061795,2.741146362086806,1.3404790834924494
1901,d_1901,0.0170977260892206,2.641778492285299,1.4144245790661343
1902,d_1902,-0.236851241103975,2.06494880423544,1.1850373199097377
1903,d_1903,-0.18095816698489847,2.602706526040504,1.317653185210901
1904,d_1904,-0.1153445582364173,2.2851711025733508,1.2539489671931956
1905,d_1905,0.24553028988022915,2.837204231250838,1.381964936642944
1906,d_1906,0.43022044783891683,2.7922320815119086,1.438552334664121
1907,d_1907,-0.2477868425620552,2.906142813937466,1.399756986634265
1908,d_1908,0.03896892900538101,2.877405475586488,1.434126019788231
1909,d_1909,-0.24535670890470407,2.6037900534410205,1.3474223225134525
1910,d_1910,-0.3705085922582885,2.771250041223943,1.3869987849331713
1911,d_1911,-0.07767748654747438,2.514891670640982,1.3412601978823122
1912,d_1912,0.2989932303419545,4.294821588148318,1.5640513799687554
1913,d_1913,0.0596250650928658,3.600359732042629,1.5624891511890298
