horizon,day,bias,RMSE,MAE
1886,d_1886,-0.3754556500607533,4.398580352000088,1.7023086269744836
1887,d_1887,-0.9295261239368166,5.138305860912876,1.7363304981773997
1888,d_1888,-0.8590522478736331,4.724358430087801,1.7582017010935602
1889,d_1889,-0.7168894289185905,4.454713396609206,1.7302551640340218
1890,d_1890,-0.3487241798298906,4.314067525528989,1.7825030376670716
1891,d_1891,-0.25394896719319565,3.99772110052338,1.6901579586877278
1892,d_1892,0.1445929526123937,3.9172795380651433,1.7679222357229647
1893,d_1893,-0.5164034021871203,5.07549326024091,1.8918590522478735
1894,d_1894,-0.5054678007290401,4.272037425714711,1.7691373025516404
1895,d_1895,-0.41190765492102066,4.652309686510352,1.833535844471446
1896,d_1896,-0.4313487241798299,4.141923291669038,1.7193195625759417
1897,d_1897,-0.3985419198055893,4.099017456284601,1.6743620899149454
1898,d_1898,0.05589307411907655,3.869059747442925,1.7108140947752126
1899,d_1899,0.16889428918590524,3.5095772455217915,1.648845686512758
1900,d_1900,-0.181044957472661,4.12899535881878,1.8262454434993924
1901,d_1901,-0.28068043742405835,4.575676619354658,1.865127582017011
1902,d_1902,-0.534629404617254,4.266629961365,1.7545565006075334
1903,d_1903,-0.4787363304981774,4.124431548887444,1.7083839611178615
1904,d_1904,-0.4131227217496962,3.8693737817559652,1.6597812879708385
1905,d_1905,-0.05224787363304982,3.8211854286588096,1.6974483596597814
1906,d_1906,0.1324422843256379,3.2436497451947277,1.6585662211421628
1907,d_1907,-0.5455650060753341,4.339902177618768,1.7533414337788578
1908,d_1908,-0.25880923450789795,4.4167746076052365,1.8432563791008505
1909,d_1909,-0.543134872417983,4.397475250455858,1.8116646415552855
1910,d_1910,-0.6682867557715675,4.581382367642099,1.8007290400972054
1911,d_1911,-0.3754556500607533,4.093529850173916,1.7484811664641555
1912,d_1912,0.001215066828675577,4.594227452023185,1.7995139732685297
1913,d_1913,-0.23815309842041313,4.5930371519796545,1.8639125151883353
