horizon,day,bias,RMSE,MAE
1886,d_1886,-0.04727620106183703,3.0268002995932335,1.3525812694451826
1887,d_1887,-0.44886150265532976,2.652710545544805,1.2047352788631638
1888,d_1888,-0.29610467079246416,2.3802333515445895,1.191639914550147
1889,d_1889,-0.1983475593155662,2.3544745915231307,1.249295564636341
1890,d_1890,0.0808595626868698,2.467416239791751,1.3279517716499105
1891,d_1891,-0.14200417838073118,2.2916000501710827,1.2675250160889024
1892,d_1892,0.10572340972733082,2.671762348533419,1.4511103699273022
1893,d_1893,-0.1559587799315664,2.9184651993563957,1.3600298881730009
1894,d_1894,0.0033709795201972365,2.2846523731141413,1.26920752842463
1895,d_1895,0.1712594879753525,2.6681057076795534,1.3258410869086097
1896,d_1896,0.10089881098050138,2.2774632384573037,1.2652370142213625
1897,d_1897,0.040098857756715754,2.0682503800797933,1.1940619423246832
1898,d_1898,0.17371916712373536,2.5010331250853444,1.4186793494607957
1899,d_1899,0.1337776360117256,3.0601165110227777,1.4727028870827554
1900,d_1900,0.18173996760509253,2.751213131103629,1.3776483001368667
1901,d_1901,0.22956674116591913,2.396963972221884,1.3899334982918425
1902,d_1902,0.04933452724409801,1.9007849935041512,1.1398646999489643
1903,d_1903,0.053909265512807586,2.3345910592401586,1.2899853098380878
1904,d_1904,0.02565889476898794,2.3305689805878393,1.2611318371216
1905,d_1905,0.06555600486760065,2.750614348699381,1.4109921975130983
1906,d_1906,0.09720308425984037,2.8263398047710275,1.5233208016123596
1907,d_1907,-0.1829612078593227,2.84507984028132,1.433165547890179
1908,d_1908,0.2512259418367516,2.6248774569704625,1.426187190989068
1909,d_1909,0.04060442873055948,2.2231236385729,1.220348722069775
1910,d_1910,-0.13586656738643416,2.4447684481350467,1.288472646739633
1911,d_1911,0.06310729516813862,2.4402776427769566,1.3229157366267204
1912,d_1912,0.11881157716883296,4.04364943976448,1.6154982212238187
1913,d_1913,-0.2735857946839005,3.6320856288485417,1.619249632660911
