horizon,day,bias,RMSE,MAE
1886,d_1886,0.11300121506682867,3.190394148661778,1.5078979343863912
1887,d_1887,-0.46780072904009723,3.373292286557271,1.4374240583232079
1888,d_1888,-0.2660996354799514,2.947289052366887,1.3329283110571082
1889,d_1889,-0.05953827460510328,2.724489540515636,1.3499392466585662
1890,d_1890,-0.38153098420413123,5.14173356547412,1.8614823815309842
1891,d_1891,-0.45443499392466585,4.367949100420461,1.7108140947752126
1892,d_1892,0.1445929526123937,3.9172795380651433,1.7679222357229647
1893,d_1893,-0.027946537059538274,3.2526276880820912,1.456865127582017
1894,d_1894,-0.04374240583232078,3.3002816625627385,1.4775212636695019
1895,d_1895,0.181044957472661,3.435395771512488,1.5613608748481167
1896,d_1896,0.22600243013365734,2.9168301175053704,1.4240583232077764
1897,d_1897,-0.4313487241798299,4.496927532176567,1.6828675577156744
1898,d_1898,-0.1445929526123937,4.057454924176656,1.8068043742405833
1899,d_1899,0.16889428918590524,3.5095772455217915,1.648845686512758
1900,d_1900,0.30741190765492105,3.0748064969888214,1.486026731470231
1901,d_1901,0.181044957472661,3.2986244785955545,1.6221142162818956
1902,d_1902,0.0583232077764277,2.6514857477868685,1.3317132442284325
1903,d_1903,0.17861482381530985,2.7365044975529607,1.4179829890643985
1904,d_1904,-0.4459295261239368,4.748728806047997,1.7144592952612394
1905,d_1905,-0.25273390036452004,4.307161517776958,1.7982989064398542
1906,d_1906,0.1324422843256379,3.2436497451947277,1.6585662211421628
1907,d_1907,-0.05710814094775213,3.0274162397496447,1.4981773997569867
1908,d_1908,0.20291616038882138,3.572032582147346,1.7266099635479952
1909,d_1909,0.04981773997569866,2.98212577184071,1.5103280680437423
1910,d_1910,-0.010935601458080195,3.0649113612779875,1.4277035236938032
1911,d_1911,-0.4082624544349939,4.916557687007439,1.8809234507897934
1912,d_1912,-0.19927095990279464,5.194164404782786,1.9489671931956258
1913,d_1913,-0.23815309842041313,4.5930371519796545,1.8639125151883353
