group,n_items,zero_share_mean,model,RMSE,MAE
G1 low intermittency,206,0.2754912312327779,SARIMAX + hgb residual boost (per-group),4.051901315446418,2.171444241161612
G1 low intermittency,206,0.2754912312327779,SARIMAX + hgb residual boost,4.113250534984398,2.2854307791959494
G1 low intermittency,206,0.2754912312327779,SARIMAX + hgb residual boost (per-group pruned),4.151460875912958,2.2212847985739232
G1 low intermittency,206,0.2754912312327779,SARIMAX[7],4.4088761817474715,2.5960088681860705
G2 medium intermittency,206,0.5731039633282686,SARIMAX + hgb residual boost (per-group pruned),2.0283703144108394,0.9826707752575963
G2 medium intermittency,206,0.5731039633282686,SARIMAX + hgb residual boost (per-group),2.0705675243740047,0.9995854612213058
G2 medium intermittency,206,0.5731039633282686,SARIMAX + hgb residual boost,2.0856128749452796,1.0156251602621145
G2 medium intermittency,206,0.5731039633282686,SARIMAX[7],2.322686914040995,1.3561301828490315
G3 high intermittency,205,0.7499463026460503,SARIMAX + hgb residual boost (per-group pruned),1.1396899262155122,0.5084727759324656
G3 high intermittency,205,0.7499463026460503,SARIMAX + hgb residual boost (per-group),1.1684237068681242,0.5152333244977534
G3 high intermittency,205,0.7499463026460503,SARIMAX + hgb residual boost,1.1719287531599547,0.5050831281315546
G3 high intermittency,205,0.7499463026460503,SARIMAX[7],1.449506893587654,0.8634647119948997
G4 very high intermittency,206,0.8951379052818625,SARIMAX + hgb residual boost,0.7940291742022136,0.2477255259274018
G4 very high intermittency,206,0.8951379052818625,SARIMAX + hgb residual boost (per-group pruned),0.7994542061518845,0.29347647584287356
G4 very high intermittency,206,0.8951379052818625,SARIMAX + hgb residual boost (per-group),0.8227146158422455,0.2884797564094777
G4 very high intermittency,206,0.8951379052818625,SARIMAX[7],1.0612884850111368,0.5633875330229245
